product_id,id_web,price,total_sales,post_title,ca_par_bouteille
6137,15834,46.0,2,Domaine de Vaccelli Ajaccio Blanc Sirocco 2017,92.0
6201,14596,105.6,0,David Duband Chambolle-Musigny 1er Cru Les Sentiers 2016,0.0
6202,15126,116.4,0,Domaine Clerget Echezeaux Grand Cru En Orveaux 2015,0.0
6204,14604,31.0,7,Domaine Giudicelli Muscat du Cap Corse 2016,217.0
6205,16565,20.2,0,Domaine Giudicelli Vin de France Corail Rouge 2019,0.0
6206,16580,25.2,41,Domaine Giudicelli Patrimonio Blanc 2019,1033.2
6207,16077,25.2,37,Domaine Giudicelli Patrimonio Rouge 2016,932.4
6212,13996,115.0,2,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2015,230.0
6213,15072,121.0,0,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016,0.0
6214,11601,99.0,0,Domaine des Comtes Lafon Volnay 1er Cru Champans 2013,0.0
6215,12790,115.0,0,Domaine des Comtes Lafon Volnay 1er Cru Champans 2014,0.0
6216,15070,121.0,0,Domaine des Comtes Lafon Volnay 1er Cru Champans 2016,0.0
6221,16096,23.5,0,Planeta Sicilia Eruzione 1614 2017,0.0
6222,7032,26.4,0,Planeta Sicilia Passito di Noto 2016,0.0
6223,15324,26.7,6,Planeta Sicilia Chardonnay 2017,160.2
6225,15162,20.4,4,Le Pas de l'Escalette IGP Hérault Ze Cinsault 2017,81.6
6226,15161,20.4,0,Le Pas de l'Escalette Terrasses du Larzac Le Pas de D. 2017,0.0
6227,15163,40.2,1,Le Pas de l'Escalette Terrasses du Larzac Les Frieys 2017,40.2
6278,16273,9.0,5,Borie de Maurel Minervois Rouge Esprit d'Automne 2019,45.0
6279,16247,45.9,0,Borie de Maurel Minervois Rouge Maxime 2003,0.0
6280,15654,10.4,0,Borie de Maurel Minervois Blanc La Belle Aude 2018,0.0
6299,15710,78.0,0,Lucien Boillot Gevrey Chambertin 1er Cru Les Cherbaudes 2017,0.0
6301,15745,40.5,0,Borie La Vitarèle Saint-Chinian Midi Rouge 2015,0.0
6325,15678,27.9,0,Tempier Bandol Blanc 2018,0.0
6328,15810,22.4,0,Le Pas de l'Escalette IGP Pays d'Hérault Les Clapas Blanc 2018,0.0
6567,15779,28.4,0,"Decelle-Villa Côte de Nuits Villages ""Aux Montagnes"" 2014",0.0
6568,15707,72.0,0,Decelle-Villa Chambolle-Musigny 2017,0.0
6569,15705,29.0,3,Decelle-Villa Chorey-Lès-Beaune 2016,87.0
6570,15706,29.2,0,Decelle-Villa Marsannay Les Longeroies 2015,0.0
6572,15704,44.0,0,Decelle-Villa Saint-Aubin 1er Cru Sous Roche Dumay 2015,0.0
6573,15473,68.3,1,Marc Colin Et Fils Chassagne-Montrachet 1er Cru Les Champs Gain 2017,68.3
6575,15479,41.8,0,Marc Colin Et Fils Saint-Aubin 1er Cru La Chatenière 2017,0.0
6578,15647,40.0,7,Saumaize-Michelin Pouilly-Fuissé Ampélopsis 2016,280.0
6584,15769,13.5,0,La Préceptorie Côtes du Roussillon Blanc Coume Marie 2018,0.0
6585,15434,19.0,0,La Préceptorie Côtes du Roussillon Blanc Terres Nouvelles 2018,0.0
6592,15764,24.4,0,Domaine de la Monardière Vacqueyras Blanc Galéjade 2018,0.0
6615,16071,32.8,0,Clos du Mont-Olivet Châteauneuf-du-Pape 2018,0.0
6616,15781,15.4,1,Clos du Mont-Olivet Lirac Rouge 2017,15.4
6617,16031,9.9,6,Clos du Mont-Olivet Vins de Pays du Gard Rive Droite 2018,59.4
